supported_index,query_id,query_id_s,fragannotator_true_rank,fragannotator_top1_correct,fragannotator_top10_correct,fragannotator_reciprocal_rank,sirius_formula_only_true_rank,sirius_formula_only_top1_correct,sirius_formula_only_top10_correct,sirius_formula_only_reciprocal_rank,cfmid_native_true_rank,cfmid_native_top1_correct,cfmid_native_top10_correct,cfmid_native_reciprocal_rank,cfmid_ms2deepscore_hybrid_true_rank,cfmid_ms2deepscore_hybrid_top1_correct,cfmid_ms2deepscore_hybrid_top10_correct,cfmid_ms2deepscore_hybrid_reciprocal_rank,iceberg_true_rank,iceberg_top1_correct,iceberg_top10_correct,iceberg_reciprocal_rank,massformer_true_rank,massformer_top1_correct,massformer_top10_correct,massformer_reciprocal_rank
101,139,139,13.0,False,False,0.0769230769230769,1.0,True,True,1.0,146.0,False,False,0.0068493150684931,269.0,False,False,0.0037174721189591,29.0,False,False,0.0344827586206896,631.0,False,False,0.0015847860538827
102,140,140,1.0,True,True,1.0,1.0,True,True,1.0,1.0,True,True,1.0,92.0,False,False,0.0108695652173913,5.0,False,True,0.2,202.0,False,False,0.0049504950495049
103,142,142,1.0,True,True,1.0,1.0,True,True,1.0,1012.0,False,False,0.0009881422924901,2218.0,False,False,0.0004508566275924,72.0,False,False,0.0138888888888888,677.0,False,False,0.001477104874446
104,143,143,265.0,False,False,0.0037735849056603,253.0,False,False,0.0039525691699604,2.0,False,True,0.5,36.0,False,False,0.0277777777777777,5.0,False,True,0.2,1114.0,False,False,0.0008976660682226
105,144,144,1.0,True,True,1.0,1.0,True,True,1.0,389.0,False,False,0.0025706940874035,615.0,False,False,0.0016260162601626,53.0,False,False,0.0188679245283018,365.0,False,False,0.0027397260273972
106,145,145,7.0,False,True,0.1428571428571428,1.0,True,True,1.0,74.0,False,False,0.0135135135135135,30.0,False,False,0.0333333333333333,84.0,False,False,0.0119047619047619,135.0,False,False,0.0074074074074074
107,146,146,200.0,False,False,0.005,1.0,True,True,1.0,863.0,False,False,0.0011587485515643,240.0,False,False,0.0041666666666666,958.0,False,False,0.0010438413361169,1.0,True,True,1.0
108,147,147,1.0,True,True,1.0,1.0,True,True,1.0,10.0,False,True,0.1,146.0,False,False,0.0068493150684931,251.0,False,False,0.0039840637450199,269.0,False,False,0.0037174721189591
109,149,149,1.0,True,True,1.0,1.0,True,True,1.0,198.0,False,False,0.005050505050505,248.0,False,False,0.0040322580645161,34.0,False,False,0.0294117647058823,1397.0,False,False,0.0007158196134574
110,150,150,1.0,True,True,1.0,1.0,True,True,1.0,7035.0,False,False,0.0001421464108031,7466.0,False,False,0.0001339405304045,6427.0,False,False,0.0001555935895441,6312.0,False,False,0.0001584283903675
111,151,151,1.0,True,True,1.0,1.0,True,True,1.0,1157.0,False,False,0.0008643042350907,1487.0,False,False,0.0006724949562878,830.0,False,False,0.0012048192771084,474.0,False,False,0.0021097046413502
112,155,155,2545.0,False,False,0.0003929273084479,2545.0,False,False,0.0003929273084479,55.0,False,False,0.0181818181818181,13.0,False,False,0.0769230769230769,120.0,False,False,0.0083333333333333,1214.0,False,False,0.000823723228995
113,156,156,1.0,True,True,1.0,1.0,True,True,1.0,170.0,False,False,0.0058823529411764,214.0,False,False,0.0046728971962616,417.0,False,False,0.0023980815347721,113.0,False,False,0.0088495575221238
114,157,157,1.0,True,True,1.0,1.0,True,True,1.0,161.0,False,False,0.0062111801242236,2744.0,False,False,0.0003644314868804,15.0,False,False,0.0666666666666666,110.0,False,False,0.009090909090909
115,158,158,5.0,False,True,0.2,5.0,False,True,0.2,34.0,False,False,0.0294117647058823,1823.0,False,False,0.0005485463521667,27.0,False,False,0.037037037037037,22.0,False,False,0.0454545454545454
116,159,159,1.0,True,True,1.0,1.0,True,True,1.0,477.0,False,False,0.0020964360587002,4691.0,False,False,0.0002131741632914,4.0,False,True,0.25,118.0,False,False,0.0084745762711864
117,163,163,30.0,False,False,0.0333333333333333,1.0,True,True,1.0,144.0,False,False,0.0069444444444444,336.0,False,False,0.0029761904761904,25.0,False,False,0.04,228.0,False,False,0.0043859649122807
118,164,164,1.0,True,True,1.0,1.0,True,True,1.0,1.0,True,True,1.0,97.0,False,False,0.0103092783505154,2.0,False,True,0.5,464.0,False,False,0.0021551724137931
119,165,165,51.0,False,False,0.0196078431372549,1.0,True,True,1.0,141.0,False,False,0.0070921985815602,339.0,False,False,0.0029498525073746,63.0,False,False,0.0158730158730158,631.0,False,False,0.0015847860538827
120,166,166,1.0,True,True,1.0,1.0,True,True,1.0,505.0,False,False,0.0019801980198019,1136.0,False,False,0.0008802816901408,86.0,False,False,0.0116279069767441,2116.0,False,False,0.0004725897920604
121,169,169,122.0,False,False,0.0081967213114754,1.0,True,True,1.0,13.0,False,False,0.0769230769230769,344.0,False,False,0.002906976744186,33.0,False,False,0.0303030303030303,3299.0,False,False,0.0003031221582297
122,170,170,1.0,True,True,1.0,1.0,True,True,1.0,2943.0,False,False,0.000339789330615,221.0,False,False,0.004524886877828,1988.0,False,False,0.0005030181086519,578.0,False,False,0.0017301038062283
123,171,171,295.0,False,False,0.0033898305084745,1.0,True,True,1.0,16.0,False,False,0.0625,80.0,False,False,0.0125,15.0,False,False,0.0666666666666666,1130.0,False,False,0.0008849557522123
124,172,172,1.0,True,True,1.0,1.0,True,True,1.0,841.0,False,False,0.0011890606420927,748.0,False,False,0.0013368983957219,372.0,False,False,0.0026881720430107,611.0,False,False,0.0016366612111292
125,173,173,1.0,True,True,1.0,1.0,True,True,1.0,6.0,False,True,0.1666666666666666,497.0,False,False,0.0020120724346076,2.0,False,True,0.5,31.0,False,False,0.032258064516129
126,176,176,1.0,True,True,1.0,1.0,True,True,1.0,99.0,False,False,0.0101010101010101,221.0,False,False,0.004524886877828,207.0,False,False,0.0048309178743961,2197.0,False,False,0.0004551661356395
