decoy_set,primary_decoy_set,threshold,n_queries,n_decoy_query_candidate_pairs,true_candidate_hits,decoy_hits,queries_with_decoy_hit,true_candidate_recall,decoy_candidate_fpr,decoy_query_fpr,candidate_precision_proxy,query_precision_proxy,weight_search_run,locked_test_used_for_weight_tuning
same_class_mass_window_50da,False,0.2,64,1052,46,74,22,0.71875,0.07034220532319392,0.34375,0.38333333333333336,0.6764705882352942,False,False
same_class_mass_window_50da,False,0.25,64,1052,41,45,13,0.640625,0.04277566539923954,0.203125,0.47674418604651164,0.7592592592592593,False,False
same_class_mass_window_50da,False,0.256061,64,1052,40,40,13,0.625,0.03802281368821293,0.203125,0.5,0.7547169811320755,False,False
same_class_mass_window_50da,False,0.3,64,1052,34,21,6,0.53125,0.019961977186311788,0.09375,0.6181818181818182,0.85,False,False
same_class_mass_window_50da,False,0.326625,64,1052,32,16,4,0.5,0.015209125475285171,0.0625,0.6666666666666666,0.8888888888888888,False,False
same_class_mass_window_50da,False,0.347952,64,1052,30,14,4,0.46875,0.013307984790874524,0.0625,0.6818181818181818,0.8823529411764706,False,False
same_class_mass_window_50da,False,0.35,64,1052,30,14,4,0.46875,0.013307984790874524,0.0625,0.6818181818181818,0.8823529411764706,False,False
same_class_mass_window_50da,False,0.4,64,1052,30,8,2,0.46875,0.0076045627376425855,0.03125,0.7894736842105263,0.9375,False,False
same_class_mass_window_50da,False,0.45,64,1052,27,7,2,0.421875,0.006653992395437262,0.03125,0.7941176470588235,0.9310344827586207,False,False
same_class_mass_window_50da,False,0.5,64,1052,22,6,1,0.34375,0.005703422053231939,0.015625,0.7857142857142857,0.9565217391304348,False,False
same_class_mass_window_50da,False,0.55,64,1052,18,6,1,0.28125,0.005703422053231939,0.015625,0.75,0.9473684210526315,False,False
same_class_mass_window_50da,False,0.574659,64,1052,16,6,1,0.25,0.005703422053231939,0.015625,0.7272727272727273,0.9411764705882353,False,False
same_class_mass_window_50da,False,0.6,64,1052,13,6,1,0.203125,0.005703422053231939,0.015625,0.6842105263157895,0.9285714285714286,False,False
same_class_mass_window_50da,False,0.60116,64,1052,13,6,1,0.203125,0.005703422053231939,0.015625,0.6842105263157895,0.9285714285714286,False,False
same_class_mass_window_50da,False,0.636241,64,1052,10,4,1,0.15625,0.0038022813688212928,0.015625,0.7142857142857143,0.9090909090909091,False,False
same_class_mass_window_50da,False,0.649717,64,1052,7,4,1,0.109375,0.0038022813688212928,0.015625,0.6363636363636364,0.875,False,False
same_class_mass_window_50da,False,0.65,64,1052,6,4,1,0.09375,0.0038022813688212928,0.015625,0.6,0.8571428571428571,False,False
same_class_mass_window_50da,False,0.672352,64,1052,4,3,1,0.0625,0.0028517110266159697,0.015625,0.5714285714285714,0.8,False,False
same_class_mass_window_50da,False,0.7,64,1052,2,1,1,0.03125,0.0009505703422053232,0.015625,0.6666666666666666,0.6666666666666666,False,False
same_class_mass_window_50da,False,0.734712,64,1052,2,0,0,0.03125,0.0,0.0,1.0,1.0,False,False
same_class_mass_window_50da,False,0.75,64,1052,2,0,0,0.03125,0.0,0.0,1.0,1.0,False,False
same_class_mass_window_50da,False,0.8,64,1052,2,0,0,0.03125,0.0,0.0,1.0,1.0,False,False
same_class_mass_window_50da,False,0.805399,64,1052,1,0,0,0.015625,0.0,0.0,1.0,1.0,False,False
same_class_mass_window_50da,False,0.85,64,1052,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
same_class_mass_window_50da,False,0.9,64,1052,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
same_class_mass_window_50da,False,0.95,64,1052,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
same_class_mass_window_50da,False,1.0,64,1052,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False
all_nonself_pfas_broad_sensitivity,False,0.0,64,12160,64,12160,64,1.0,1.0,1.0,0.005235602094240838,0.5,False,False
all_nonself_pfas_broad_sensitivity,False,0.05,64,12160,62,6395,64,0.96875,0.5259046052631579,1.0,0.00960198234474214,0.49206349206349204,False,False
all_nonself_pfas_broad_sensitivity,False,0.067653,64,12160,62,5675,64,0.96875,0.4666940789473684,1.0,0.010807042008018127,0.49206349206349204,False,False
all_nonself_pfas_broad_sensitivity,False,0.1,64,12160,61,4318,64,0.953125,0.3550986842105263,1.0,0.013930121032199132,0.488,False,False
all_nonself_pfas_broad_sensitivity,False,0.143177,64,12160,57,2878,63,0.890625,0.23667763157894736,0.984375,0.019420783645655876,0.475,False,False
all_nonself_pfas_broad_sensitivity,False,0.149591,64,12160,55,2297,63,0.859375,0.18889802631578947,0.984375,0.0233843537414966,0.4661016949152542,False,False
all_nonself_pfas_broad_sensitivity,False,0.15,64,12160,55,2268,63,0.859375,0.18651315789473685,0.984375,0.023676280671545414,0.4661016949152542,False,False
all_nonself_pfas_broad_sensitivity,False,0.15492,64,12160,55,1782,61,0.859375,0.14654605263157894,0.953125,0.029940119760479042,0.47413793103448276,False,False
all_nonself_pfas_broad_sensitivity,False,0.164201,64,12160,53,1156,61,0.828125,0.09506578947368421,0.953125,0.043837882547559964,0.4649122807017544,False,False
all_nonself_pfas_broad_sensitivity,False,0.19522,64,12160,47,567,53,0.734375,0.04662828947368421,0.828125,0.07654723127035831,0.47,False,False
all_nonself_pfas_broad_sensitivity,False,0.2,64,12160,46,523,53,0.71875,0.04300986842105263,0.828125,0.08084358523725835,0.46464646464646464,False,False
all_nonself_pfas_broad_sensitivity,False,0.25,64,12160,41,299,47,0.640625,0.024588815789473684,0.734375,0.12058823529411765,0.4659090909090909,False,False
